P-1_temperature_C,P-1_weight_mg,P-1_weight_percent,P-2_temperature_C,P-2_weight_mg,P-2_weight_percent,P-3_temperature_C,P-3_weight_mg,P-3_weight_percent,P-4_temperature_C,P-4_weight_mg,P-4_weight_percent
48.9121,4.00672,100.01603,49.02184,4.36932,99.85534,38.2555,7.96896,99.96776,56.6231,4.13102,99.81502
48.9904,4.0068,100.01792,49.10097,4.3693,99.85497,38.33751,7.96891,99.96716,56.78995,4.13087,99.81154
49.07217,4.0065,100.01058,49.18191,4.36925,99.85374,38.42313,7.96885,99.96643,56.95298,4.13057,99.80457
49.15264,4.0062,100.00307,49.26504,4.36923,99.85319,38.50664,7.96877,99.96541,57.11688,4.1303,99.79831
49.23101,4.00617,100.00225,49.34424,4.36923,99.85326,38.58936,7.9689,99.96705,57.28022,4.1301,99.7937
49.31215,4.00652,100.01101,49.42438,4.36934,99.85575,38.67023,7.96894,99.96755,57.44385,4.12998,99.79098
49.39386,4.00674,100.01657,49.50593,4.36934,99.85588,38.75214,7.96874,99.96503,57.6077,4.12985,99.788
49.47516,4.00674,100.01657,49.58803,4.36938,99.85664,38.83405,7.9687,99.96455,57.7726,4.12961,99.78241
49.55279,4.00642,100.00844,49.66592,4.36947,99.85876,38.91836,7.96877,99.96546,57.9351,4.12942,99.77798
49.63205,4.00635,100.00684,49.74948,4.3695,99.85945,38.99939,7.96868,99.96433,58.09974,4.12921,99.77321
49.71446,4.00654,100.01158,49.82832,4.36943,99.85776,39.08254,7.96854,99.96255,58.26404,4.12909,99.77038
49.79606,4.00673,100.01633,49.91066,4.36938,99.85664,39.16647,7.96844,99.96139,58.42794,4.12909,99.77038
49.87574,4.00647,100.00969,49.99132,4.36922,99.853,39.24759,7.96844,99.96132,58.5935,4.12907,99.76992
49.95562,4.00594,99.99638,50.07107,4.36911,99.85061,39.33082,7.96862,99.96359,58.75641,4.12905,99.76946
50.0328,4.00576,99.99191,50.15207,4.36895,99.84697,39.41245,7.96879,99.96568,58.91701,4.12885,99.7648
50.11584,4.00596,99.997,50.23117,4.36887,99.8451,39.49782,7.96878,99.96554,59.08203,4.12859,99.75879
50.19766,4.00617,100.00222,50.31295,4.36871,99.84128,39.57906,7.96865,99.96396,59.24406,4.12834,99.75295
50.27804,4.00596,99.99708,50.39416,4.36857,99.8382,39.66064,7.96856,99.96282,59.40792,4.12808,99.74691
50.36146,4.0059,99.99551,50.47296,4.36849,99.83632,39.7439,7.96858,99.96302,59.56967,4.12777,99.73979
50.44019,4.00619,100.00277,50.55548,4.36853,99.83728,39.82524,7.96854,99.96255,59.73172,4.12757,99.73502
50.52084,4.00664,100.01393,50.63562,4.36865,99.83993,39.90723,7.96848,99.96186,59.89678,4.12748,99.73293
50.59928,4.00682,100.01857,50.71479,4.36871,99.8413,39.988,7.96849,99.96194,60.05993,4.12744,99.73212
50.68128,4.00684,100.01887,50.79602,4.36855,99.83774,40.06895,7.96851,99.96219,60.22281,4.12739,99.73082
50.76259,4.00686,100.01945,50.87783,4.36844,99.83532,40.1524,7.96845,99.96145,60.38584,4.12728,99.72841
50.84364,4.00693,100.02112,50.9575,4.36835,99.83312,40.2343,7.96839,99.9607,60.54951,4.12724,99.72751
50.92288,4.00697,100.02222,51.03799,4.36843,99.83488,40.316,7.96845,99.96144,60.7093,4.12714,99.72514
51.00463,4.00704,100.02386,51.11954,4.3685,99.83669,40.3993,7.96853,99.96243,60.8721,4.12687,99.71877
51.08316,4.00691,100.02082,51.19942,4.36855,99.83765,40.4788,7.96841,99.961,61.0325,4.12666,99.71409
51.16565,4.00687,100.0196,51.2812,4.36854,99.83746,40.56124,7.96839,99.96073,61.1987,4.1265,99.71024
51.24653,4.00694,100.02147,51.36117,4.36858,99.83847,40.6435,7.96849,99.96191,61.35884,4.12643,99.70874
51.32511,4.00692,100.02087,51.44264,4.36889,99.84542,40.72336,7.96835,99.96024,61.52082,4.12639,99.70769
51.40712,4.00693,100.02124,51.52572,4.36909,99.85017,40.80811,7.968,99.95595,61.68416,4.12645,99.70911
51.48489,4.00688,100.02007,51.60313,4.36918,99.85204,40.89032,7.9677,99.95223,61.84726,4.12636,99.70702
51.56746,4.00671,100.01585,51.68343,4.36922,99.853,40.97209,7.96774,99.9527,62.0094,4.12606,99.70012
51.64986,4.00671,100.01568,51.76521,4.36903,99.84862,41.05588,7.96791,99.95475,62.1711,4.12579,99.69384
51.7305,4.0068,100.01787,51.84646,4.36885,99.84469,41.1381,7.96801,99.95602,62.33296,4.12562,99.68983
51.80954,4.00678,100.01735,51.92884,4.36865,99.83993,41.21822,7.96807,99.95679,62.49566,4.1255,99.68714
51.88735,4.0066,100.01293,52.01122,4.36846,99.8357,41.2976,7.96806,99.95669,62.65802,4.12535,99.68362
51.96937,4.00636,100.00686,52.09146,4.3683,99.83212,41.37951,7.96824,99.95883,62.82029,4.12506,99.67701
52.05152,4.00646,100.00949,52.17183,4.36807,99.82677,41.4587,7.96837,99.96046,62.98307,4.12481,99.67108
52.13208,4.00676,100.0171,52.255,4.36798,99.82467,41.54209,7.96832,99.95982,63.14392,4.1247,99.66869
52.21197,4.00678,100.0176,52.33442,4.36801,99.82531,41.62333,7.96829,99.95953,63.30663,4.1247,99.6686
52.2916,4.00671,100.0157,52.41304,4.3681,99.82745,41.70554,7.96837,99.96053,63.46781,4.12469,99.66837
52.37305,4.00656,100.01206,52.49546,4.36816,99.82883,41.78756,7.96856,99.96285,63.62934,4.12461,99.66642
52.45136,4.00642,100.00841,52.57828,4.36821,99.83001,41.86887,7.96858,99.96308,63.79194,4.12435,99.66039
52.53519,4.00652,100.01088,52.66127,4.36838,99.83394,41.95004,7.96849,99.96196,63.95513,4.124,99.65242
52.6158,4.00662,100.01338,52.74152,4.36835,99.83308,42.02981,7.96832,99.95988,64.1148,4.12395,99.65133
52.6968,4.00615,100.00187,52.82112,4.36816,99.82876,42.11234,7.96811,99.95733,64.27555,4.12406,99.65367
52.77746,4.00562,99.98842,52.90195,4.36798,99.8248,42.1934,7.96784,99.954,64.4371,4.12405,99.6536
52.85493,4.00554,99.98662,52.98344,4.36795,99.82405,42.27464,7.96769,99.95208,64.60097,4.1239,99.65006
52.93654,4.00577,99.99214,53.06636,4.36809,99.82713,42.3558,7.96758,99.95076,64.75965,4.12375,99.64658
53.01988,4.00592,99.99596,53.14678,4.3678,99.82064,42.43676,7.96756,99.95052,64.92176,4.1235,99.64079
53.1,4.00585,99.99421,53.22661,4.36791,99.82311,42.51664,7.96766,99.95177,65.08574,4.1234,99.63852
53.18084,4.00546,99.98457,53.30852,4.36791,99.82316,42.59758,7.96781,99.95355,65.24444,4.12313,99.63233
53.26285,4.00545,99.98422,53.39037,4.36775,99.81946,42.67882,7.96801,99.95603,65.40585,4.123,99.62915
53.3407,4.00589,99.99523,53.47193,4.36734,99.81018,42.75855,7.96829,99.9595,65.56898,4.12287,99.6263
53.42452,4.00618,100.0026,53.55408,4.36744,99.81228,42.83838,7.96847,99.96174,65.73043,4.12282,99.62512
53.50451,4.00623,100.00372,53.63594,4.36754,99.81463,42.92305,7.96854,99.96258,65.89116,4.1227,99.62216
53.5845,4.00607,99.99968,53.71528,4.36685,99.7988,43.00317,7.96862,99.96355,66.04976,4.12236,99.61428
53.66798,4.0059,99.99546,53.79914,4.36636,99.78773,43.08356,7.96878,99.96559,66.2125,4.12217,99.60997
53.7452,4.00592,99.99611,53.87906,4.36626,99.78531,43.1649,7.9688,99.96578,66.3749,4.12209,99.60809
53.8286,4.00601,99.99823,53.96099,4.36621,99.78433,43.24687,7.96855,99.9627,66.53528,4.12193,99.60447
53.90681,4.00603,99.9987,54.04248,4.3658,99.77487,43.32622,7.96838,99.96063,66.6953,4.12186,99.60273
53.98968,4.0062,100.00305,54.12516,4.36535,99.76467,43.40886,7.96827,99.95926,66.85868,4.12171,99.59933
54.0721,4.00643,100.00879,54.20537,4.36529,99.76335,43.48878,7.9684,99.96085,67.01813,4.12149,99.5943
54.15276,4.00647,100.00969,54.2852,4.36549,99.76776,43.56988,7.96846,99.9616,67.18101,4.12144,99.59298
54.2311,4.00645,100.00936,54.3677,4.36535,99.76465,43.65138,7.9683,99.95961,67.34081,4.12136,99.59117
54.3114,4.00636,100.00696,54.44832,4.36528,99.76292,43.73228,7.96812,99.95741,67.50158,4.12126,99.5889
54.39448,4.00617,100.00222,54.53049,4.36582,99.77532,43.81216,7.96806,99.9567,67.66234,4.12106,99.58413
54.47604,4.00606,99.9995,54.61262,4.3662,99.78401,43.89378,7.96817,99.95807,67.82178,4.12089,99.58023
54.55701,4.00615,100.0017,54.69532,4.36593,99.77777,43.97468,7.96816,99.95786,67.984,4.12068,99.5755
54.6374,4.00601,99.9982,54.77656,4.36568,99.77215,44.05351,7.96806,99.95661,68.14594,4.12068,99.57548
